PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LINE,SAMPLE_TYPE,DEPTH,ARRIVAL_TIME,CALIBRATION_VERIFIED,CONDUCTIVITY,DEPTH_METHOD,DO2_2M,DUPLICATE_DO,E_FILE,INDEX_GPS_FIX,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH,METALIMNION,ODOR,OXYGEN,PH,PRECIPITATION,SCUM,SCUM_DESC,SURFACE_COND,TEMP_CORRECTED,TEMPERATURE,COMMENT
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,1,PROF,0,,,1078,,,,,,,,,,,8.88,8.6,,,,,,21.53,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,2,PROF,1,,,1077,,,,,,,,,,,9.08,8.6,,,,,,21.53,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,3,PROF,2,,,1078,,,,,,,,,,,9.97,8.6,,,,,,21.53,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,4,PROF,3,,,1079,,,,,,,,,T,,9.95,8.6,,,,,,21.52,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,5,PROF,4,,,1091,,,,,,,,,,,9.28,8.29,,,,,,20.07,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,6,PROF,5,,,1093,,,,,,,,,,,7.76,8.09,,,,,,19.19,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,7,PROF,6,,,1093,,,,,,,,,B,,7.34,8.02,,,,,,18.86,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,8,PROF,7,,,1093,,,,,,,,,,,7.02,7.95,,,,,,18.57,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,9,PROF,8,,,1092,,,,,,,,,,,6.43,7.95,,,,,,18.47,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,10,PROF,9,,,1082,,,,,,,,,,,6.66,7.91,,,,,,18.04,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,11,PROF,10,,,1082,,,,,,,,,,,6.08,7.9,,,,,,17.9,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,12,PROF,11,,,1077,,,,,,,,,,,5.75,7.9,,,,,,17.7,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,13,PROF,12,,,1079,,,,,,,,,,,5.7,7.9,,,,,,17.7,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,14,PROF,13,,,1088,,,,,,,,,,,5.4,7.8,,,,,,17.5,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,15,PROF,14,,,1084,,,,,,,,,,,5.3,7.8,,,,,,17.2,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,16,PROF,15,,,1082,,,,,,,,,,,5.5,7.8,,,,,,17.1,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,17,PROF,16,,,1089,,,,,,,,,,,5.2,7.8,,,,,,17.1,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,18,PROF,17,,,1092,,,,,,,,,,,5.4,7.8,,,,,,16.9,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,19,PROF,18,,,1091,,,,,,,,,,,5.4,7.8,,,,,,16.8,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,20,PROF,19,,,1092,,,,,,,,,,,5.4,7.8,,,,,,16.7,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,21,PROF,20,,,1090,,,,,,,,,,,5.3,7.8,,,,,,16.7,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,22,PROF,21,,,1088,,,,,,,,,,,5.2,7.8,,,,,,16.7,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,23,PROF,22,,,1085,,,,,,,,,,,5.6,7.8,,,,,,16.6,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,24,PROF,23,,,1083,,,,,,,,,,,5.4,7.8,,,,,,16.4,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,25,PROF,24,,,1083,,,,,,,,,,,4.7,7.7,,,,,,16.3,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,0,PROF,,08:00,N,,SONAR,10.84,Y,,2D,46.82646,-100.63453,9,,N,,,NONE,NO,,CHOPPY,Y,,LAKE MAXIMUM DEPTH 12 METERS;CHECK AGAINST NIST THERMOMETER 5/15/2012
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,1,PROF,0,,,2814,,,,,,,,,,,10.83,8.43,,,,,,17.01,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,2,PROF,1,,,2813,,,,,,,,,,,10.84,8.43,,,,,,17,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,3,PROF,2,,,2813,,,,,,,,,,,10.86,8.43,,,,,,17,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,4,PROF,3,,,2823,,,,,,,,,T,,9.65,8.34,,,,,,15.55,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,5,PROF,4,,,2808,,,,,,,,,,,8.16,8.24,,,,,,14.63,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,6,PROF,5,,,2809,,,,,,,,,B,,6.88,8.17,,,,,,13.86,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,7,PROF,6,,,2818,,,,,,,,,,,5.81,8.1,,,,,,13.5,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,8,PROF,7,,,2823,,,,,,,,,,,5.92,8.1,,,,,,13.07,
8/21/2024,6189,NLA_ND-10055,NLA12_ND-115,1,5/16/2012,ND,9,PROF,8,,,3341,,,,,,,,,,,2.2,7.86,,,,,,11.87,
8/21/2024,6192,NLA_AZ-10057,NLA12_AZ-118,1,5/9/2012,AZ,0,PROF,,09:05,,,SONAR,,,,3D,33.382668,-111.88047,2.4,,N,,,NONE,NO,,RIPPLES,,,"D.O. PROBE MALFUNCTION, MOST LIKELY DUE TO HEAVY USE OF AQUASHADE IN WATER, WATER ""TIDY BOWL BLUE"";SEE PAGE ONE FLAG--DO PROBE MALFUNCTION--MAX DEPTH AT INDEX SITE IS 7.9 FT/2.4M; PH, COND AND TEMP LIKELY HAVE LITTLE VARIATION IN WATER COLUMN."
8/21/2024,6192,NLA_AZ-10057,NLA12_AZ-118,1,5/9/2012,AZ,1,PROF,0,,,550,,,,,,,,,,,,8.2,,,,,,24.8,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,0,PROF,,09:20,Y,,SONAR,10.7,Y,,3D,41.51908,-111.73667,34,,Y,,,NONE,NO,,FLAT,Y,,CALIBRATED AT BEGINNING OF FIELD SEASON.;FISHY
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,1,PROF,0,,,338,,,,,,,,,,,10.7,9,,,,,,12.3,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,2,PROF,1,,,339,,,,,,,,,,,10.9,9.1,,,,,,12.1,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,3,PROF,2,,,356,,,,,,,,,,,10.5,9.1,,,,,,11.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,4,PROF,3,,,337,,,,,,,,,,,10.9,9.1,,,,,,11.8,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,5,PROF,4,,,338,,,,,,,,,,,11.2,9.1,,,,,,11.8,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,6,PROF,5,,,338,,,,,,,,,,,11.1,9.1,,,,,,11.7,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,7,PROF,6,,,342,,,,,,,,,,,11.2,9.1,,,,,,10.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,8,PROF,7,,,343,,,,,,,,,T,,10.5,9,,,,,,9.5,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,9,PROF,8,,,347,,,,,,,,,B,,10.1,8.7,,,,,,8.4,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,10,PROF,9,,,352,,,,,,,,,,,9.7,8.5,,,,,,7.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,11,PROF,10,,,351,,,,,,,,,,,9.4,8.4,,,,,,7.2,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,12,PROF,11,,,354,,,,,,,,,,,9.2,8.3,,,,,,6.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,13,PROF,12,,,354,,,,,,,,,,,9.1,8.2,,,,,,6.8,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,14,PROF,13,,,356,,,,,,,,,,,9.1,8.2,,,,,,6.4,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,15,PROF,14,,,359,,,,,,,,,,,8.7,8.1,,,,,,6.1,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,16,PROF,15,,,362,,,,,,,,,,,8.4,8.1,,,,,,5.7,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,17,PROF,16,,,363,,,,,,,,,,,8.2,8.1,,,,,,5.5,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,18,PROF,17,,,365,,,,,,,,,,,7.9,8,,,,,,5.4,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,19,PROF,18,,,366,,,,,,,,,,,7.9,7.9,,,,,,5.2,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,20,PROF,19,,,366,,,,,,,,,,,7.6,7.9,,,,,,5.2,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,21,PROF,20,,,366,,,,,,,,,,,7.6,7.9,,,,,,5.2,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,22,PROF,22,,,367,,,,,,,,,,,7.7,7.9,,,,,,5.1,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,23,PROF,24,,,367,,,,,,,,,,,7.6,7.9,,,,,,5.1,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,24,PROF,26,,,368,,,,,,,,,,,7.6,7.9,,,,,,5,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,25,PROF,28,,,368,,,,,,,,,,,7.5,7.9,,,,,,4.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,26,PROF,30,,,370,,,,,,,,,,,7.4,7.9,,,,,,4.9,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,27,PROF,32,,,370,,,,,,,,,,,7.1,7.9,,,,,,4.8,
8/21/2024,6194,NLA_UT-10023,NLA12_UT-103,1,5/9/2012,UT,28,PROF,33.5,,,371,,,,,,,,,,,6.8,7.9,,,,,,4.8,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,0,PROF,,09:00,Y,,SONAR,9.61,Y,,3D,33.84633,-111.61886,12.7,,N,,,NONE,NO,,RIPPLES,Y,,DEPTH 12.7 METERS
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,3,PROF,0,,,550,,,,,,,,,,,9.24,8.7,,,,,,22.1,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,4,PROF,1,,,551,,,,,,,,,,,9.8,8.6,,,,,,21.9,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,5,PROF,2,,,551,,,,,,,,,,,9.8,8.4,,,,,,21.9,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,6,PROF,3,,,549,,,,,,,,,,,9.8,8.3,,,,,,21.9,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,7,PROF,4,,,549,,,,,,,,,,,9.8,8.3,,,,,,21.8,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,8,PROF,5,,,549,,,,,,,,,,,9.8,8.3,,,,,,21.8,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,9,PROF,6,,,550,,,,,,,,,T,,9.2,8.2,,,,,,21.6,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,10,PROF,7,,,558,,,,,,,,,,,7.2,8.1,,,,,,18.4,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,11,PROF,8,,,563,,,,,,,,,,,6.2,8,,,,,,18.2,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,12,PROF,9,,,569,,,,,,,,,B,,5.5,7.9,,,,,,17.3,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,13,PROF,10,,,573,,,,,,,,,,,4.8,7.9,,,,,,16.7,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,14,PROF,11,,,581,,,,,,,,,,,3.7,7.9,,,,,,15.7,
8/21/2024,6195,NLA_AZ-10068,NLA12_AZ-130,1,5/10/2012,AZ,15,PROF,12,,,581,,,,,,,,,,,2.9,7.8,,,,,,15.3,
8/21/2024,6212,NLA_FL-10074,NLA12_FL-101,1,5/14/2012,FL,0,PROF,,1150,Y,,SONAR,8.02,Y,,3D,26.92838,-80.81813,4.4,,N,,,NONE,NO,,RIPPLES,Y,,
8/21/2024,6212,NLA_FL-10074,NLA12_FL-101,1,5/14/2012,FL,1,PROF,0.25,,,63,,,,,,,,,,,8.24,7.35,,,,,,27.78,
8/21/2024,6212,NLA_FL-10074,NLA12_FL-101,1,5/14/2012,FL,2,PROF,1,,,66,,,,,,,,,,,7.79,7.42,,,,,,26.44,
8/21/2024,6212,NLA_FL-10074,NLA12_FL-101,1,5/14/2012,FL,3,PROF,2,,,66,,,,,,,,,,,7.63,7.47,,,,,,26.35,
8/21/2024,6212,NLA_FL-10074,NLA12_FL-101,1,5/14/2012,FL,4,PROF,2.9,,,67,,,,,,,,,,,7.41,7.49,,,,,,26.21,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,0,PROF,,10:25,Y,,SONAR,9.4,Y,,3D,37.52415,-112.78218,3,,N,,,NONE,NO,,CHOPPY,Y,,CALIBRATE AT BEGINNING OF FIELD SEASON
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,1,PROF,0,,,215.9,,,,,,,,,,,9.46,8.18,,,,,,12.55,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,2,PROF,0.5,,,216.3,,,,,,,,,,,9.36,8.2,,,,,,12.55,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,3,PROF,1,,,216.7,,,,,,,,,,,9.38,8.22,,,,,,12.55,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,4,PROF,1.5,,,216.9,,,,,,,,,,,9.31,8.22,,,,,,12.53,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,5,PROF,2,,,217.1,,,,,,,,,,,9.38,8.21,,,,,,12.53,
8/21/2024,6216,NLA_UT-10042,NLA12_UT-101,1,5/15/2012,UT,6,PROF,2.5,,,216.9,,,,,,,,,,,9.38,8.22,,,,,,12.53,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,0,PROF,,09:00,N,,SONAR,9.84,Y,,2D,46.66431,-99.55935,6,,N,,,NONE,NO,,CHOPPY,Y,,CHECKED AGAINST NIST THERMOMETER 5/14/12
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,1,PROF,0,,,2955,,,,,,,,,,,9.88,8.64,,,,,,14.38,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,2,PROF,1,,,2954,,,,,,,,,,,9.84,8.65,,,,,,14.38,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,3,PROF,2,,,2954,,,,,,,,,,,9.8,8.64,,,,,,14.35,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,4,PROF,3,,,2954,,,,,,,,,,,9.79,8.65,,,,,,14.37,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,5,PROF,4,,,2952,,,,,,,,,,,9.77,8.65,,,,,,14.31,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,6,PROF,5,,,2952,,,,,,,,,,,9.73,8.64,,,,,,14.27,
8/21/2024,6217,NLA_ND-10045,NLA12_ND-112,1,5/15/2012,ND,7,PROF,5.5,,,2952,,,,,,,,,,,9.76,8.64,,,,,,14.23,
8/21/2024,6218,NLA_FL-10090,NLA12_FL-123,1,5/15/2012,FL,0,PROF,,0945,,,SONAR,,,,3D,27.20703,-81.35124,17.3,,N,,,NONE,NO,,FLAT,,,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,0,PROF,,1245,Y,,SONAR,7.83,Y,,3D,28.09351,-81.70651,3.8,,N,,,LIGHT,NO,,RIPPLES,Y,,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,1,PROF,0.25,,,312,,,,,,,,,,,7.95,8.74,,,,,,27.27,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,2,PROF,1,,,312,,,,,,,,,,,7.7,8.74,,,,,,26.96,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,3,PROF,2,,,313,,,,,,,,,,,6.58,8.61,,,,,,26.46,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,4,PROF,3,,,314,,,,,,,,,,,5.79,8.49,,,,,,26.31,
8/21/2024,6222,NLA_FL-10061,NLA12_FL-102,1,5/16/2012,FL,5,PROF,3.3,,,314,,,,,,,,,,,5.5,8.44,,,,,,26.31,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,0,PROF,,9:56,,,SONAR,9.21,Y,,3D,33.37347,-84.28461,5.1,,N,,,NONE,NO,,FLAT,,,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,1,PROF,0,,,39.5,,,,,,,,,,,9.4,7.7,,,,,,25.16,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,2,PROF,1,,,39.7,,,,,,,,,,,9.32,7.68,,,,,,24.9,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,3,PROF,2,,,39.6,,,,,,,,,T,,8.9,7.36,,,,,,24.69,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,4,PROF,3,,,39.8,,,,,,,,,,,6.95,6.55,,,,,,23.35,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,5,PROF,4,,,42.7,,,,,,,,,,,0.04,5.69,,,,,,19.85,
8/21/2024,6226,NLA_GA-10033,NLA12_GA-112,1,5/16/2012,GA,6,PROF,4.6,,,55.8,,,,,,,,,B,,0.02,5.73,,,,,,18.74,
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,0,PROF,,08:50,Y,,SONAR,7.79,Y,,3D,38.60116,-111.84152,3.7,,N,,,NONE,NO,,CHOPPY,Y,,CALIBRATED AT BEGINNING OF YEAR
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,1,PROF,0,,,266,,,,,,,,,,,7.79,8.5,,,,,,14.48,
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,2,PROF,1,,,265,,,,,,,,,,,7.78,8.5,,,,,,14.42,
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,3,PROF,2,,,265,,,,,,,,,,,7.79,8.4,,,,,,14.48,
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,4,PROF,3,,,266,,,,,,,,,,,7.79,8.4,,,,,,14.43,
8/21/2024,6227,NLA_UT-10010,NLA12_UT-108,1,5/17/2012,UT,5,PROF,3.2,,,265,,,,,,,,,,,7.79,8.4,,,,,,14.46,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,0,PROF,,12:15,Y,,LINE,6.7,Y,,3D,28.1698,-81.83552,6.1,,N,,,NONE,NO,,FLAT,Y,,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,1,PROF,0,,,443,,,,,,,,,,,7,7,,,,,,27.4,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,2,PROF,1,,,443,,,,,,,,,,,6.7,6.9,,,,,,26.8,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,3,PROF,2,,,443,,,,,,,,,,,6.4,6.9,,,,,,26.7,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,4,PROF,3,,,443,,,,,,,,,,,6.3,6.98,,,,,,26.7,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,5,PROF,4,,,442,,,,,,,,,,,6.3,6.9,,,,,,26.6,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,6,PROF,5,,,442,,,,,,,,,,,6.1,6.9,,,,,,26.6,
8/21/2024,6228,NLA_FL-10063,NLA12_FL-107,1,5/17/2012,FL,7,PROF,5.6,,,442,,,,,,,,,,,6.4,6.9,,,,,,26.6,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,0,PROF,,12:55,Y,,LINE,7.93,Y,,3D,27.84198,-81.50917,2.6,,N,,,NONE,NO,,RIPPLES,Y,,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,1,PROF,0,,,43,,,,,,,,,,,7.9,5.9,,,,,,28.9,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,2,PROF,0.5,,,44,,,,,,,,,,,7.9,5.9,,,,,,28.8,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,3,PROF,1,,,44,,,,,,,,,T,,8,5.8,,,,,,27.8,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,4,PROF,1.5,,,44,,,,,,,,,B,,8,5.8,,,,,,27.7,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,5,PROF,2,,,44,,,,,,,,,,,7.9,5.9,,,,,,27.7,
8/21/2024,6231,NLA_FL-10077,NLA12_FL-110,1,5/18/2012,FL,6,PROF,2.1,,,44,,,,,,,,,,,7.9,5.8,,,,,,27.7,
8/21/2024,6232,NLA_FL-10006,NLA12_FL-106,1,5/20/2012,FL,0,PROF,,09:30,Y,,LINE,6.77,Y,,3D,28.63923,-81.1357,2.8,,N,,,NONE,NO,,FLAT,Y,,
8/21/2024,6232,NLA_FL-10006,NLA12_FL-106,1,5/20/2012,FL,1,PROF,0,,,177,,,,,,,,,,,6.9,6.1,,,,,,27.2,
8/21/2024,6232,NLA_FL-10006,NLA12_FL-106,1,5/20/2012,FL,2,PROF,0.5,,,177,,,,,,,,,,,6.6,6,,,,,,26.9,
8/21/2024,6232,NLA_FL-10006,NLA12_FL-106,1,5/20/2012,FL,3,PROF,1,,,177,,,,,,,,,,,6.8,6,,,,,,26.6,
